,metrix,MAG,fdr,fdr1,fdr2,fdr3,p,ptb_sub_count,tb_sub_count,ptb_sub_mean,tb_sub_mean,p1,ptb_sub_count1,tb_sub_count1,ptb_sub_mean1,tb_sub_mean1,p2,ptb_sub_count2,tb_sub_count2,ptb_sub_mean2,tb_sub_mean2,p3,ptb_sub_count3,tb_sub_count3,ptb_sub_mean3,tb_sub_mean3
1,divsite.df,MAG086.fasta,0.41786499897387097,0.28769186225673543,0.6831779202528153,0.6344341714133389,0.09560639378755198,33,102,9092.315656565655,7529.241141456582,0.03596148278209193,12,24,9743.791666666666,6467.0625,0.2988903401106067,21,59,9454.52380952381,7817.1581920903955,0.18946548675273436,24,96,9104.829166666666,7496.9296875
8,divsite.df,MAG113.fasta,0.41786499897387097,0.9727765307117032,0.6126308716548066,0.9162685364553553,0.17476760653472967,17,45,7430.764705882353,6009.398518518518,0.8707563451116443,6,10,6039.0,6283.7,0.15315771791370164,11,21,8063.954545454545,6004.619047619048,0.5426664227209892,8,29,7898.375,7213.3074712643665
2,divsite.df,MAG122.fasta,0.838958463653983,0.9727765307117032,0.8767870883365486,0.9360088101003274,0.7340886556972351,13,36,356.58974358974365,474.1712962962963,0.2888443663464849,1,4,28.0,518.0,0.7209848619016708,6,7,237.0,496.28571428571433,0.7459988425893669,9,31,389.5740740740741,444.1021505376344
35,nt.df,MAG023.fasta,0.8086278491544735,0.953011395422729,0.7370370819800725,0.9867442014963528,0.6570101274380097,15,41,0.006657283042496447,0.006456683528310902,0.953011395422729,6,9,0.0064998993465569905,0.007386310918104078,0.3685185409900362,10,13,0.00588574983950548,0.007690569075251808,0.5705498326665113,7,32,0.006670561761017452,0.006448079274341875
42,nt.df,MAG038.fasta,0.8108515418913608,0.4073427824816718,0.9566296159654105,0.9867442014963528,0.7601733205231507,17,40,0.0060785222693270635,0.005900306242506564,0.28144734896695256,6,12,0.007240866100497101,0.0060178739182956,0.7084414093482762,10,20,0.00533726216429211,0.006238835233117251,0.8906411370640239,8,27,0.006341917445926932,0.0061295491685671505
43,nt.df,MAG039.fasta,0.09867612632759491,0.2445152340840019,0.9883205831071412,0.9613751966456877,0.03083628947737341,12,35,0.006895888448608977,0.005178412051816691,0.07860873623975942,6,11,0.008011356907230408,0.005250741005631941,0.957967251805562,5,12,0.00571831907492736,0.005828858566276529,0.36600687754480943,6,21,0.006149431414250325,0.0051122861929127714
39,nt.df,MAG042.fasta,0.06347280252559041,0.2445152340840019,0.595238831848417,0.9613751966456877,0.015868200631397603,23,56,0.011576866919532322,0.008813963566411877,0.10871377520905924,7,14,0.013920604325018978,0.008935017886102292,0.14880970796210424,15,27,0.011417750740865555,0.008681478698115485,0.3850597542126004,12,44,0.010287936768336694,0.009022486778104195
34,nt.df,MAG043.fasta,0.6120759279865581,0.2445152340840019,0.9566296159654105,0.9867442014963528,0.3442927094924389,25,56,0.006234041522871303,0.005379891971235275,0.06757726305587054,7,14,0.009710506029854514,0.005531426384925536,0.7318918289304317,13,26,0.006291485476742716,0.005926938341767668,0.6841397170590438,14,42,0.004795803629602771,0.0050327795356014116
32,nt.df,MAG044.fasta,0.008559274256516716,0.11975504462923373,0.595238831848417,0.41016058259303084,0.0005349546410322948,24,66,0.006396132040921114,0.0036520701655218158,0.014969380578654216,6,14,0.009610130342874269,0.004997743968505079,0.059815397907718525,16,34,0.0060339977772383615,0.004164385627096924,0.025635036412064428,12,51,0.005193784588486757,0.003114410550839793
33,nt.df,MAG045.fasta,0.06347280252559041,0.2445152340840019,0.8273642455542514,0.41382901964750235,0.009579631818262107,21,56,0.006422759286884608,0.00393253176418236,0.10468406709113373,6,13,0.009178501896821123,0.005679477199614124,0.4653923881242664,12,25,0.005247634228932784,0.004227634610109568,0.051728627455937794,12,42,0.005426449854442636,0.003351111294164391
